Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,City,Sales_Channel,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount_Percent,Gross_Sales,Discount_Amount,Shipping_Cost,Payment_Fee,Cost_of_Goods,Return_Flag,Return_Quantity,Return_Amount,Net_Revenue,Profit,Profit_Margin,Payment_Method,Order_Status
ORD00001,2024-01-05,C0466,Consumer,West,Mumbai,Website,P013,Coffee Maker,Home & Kitchen,3,4050.06,10.0,12150.18,1215.02,78.75,209.81,7650,False,0,0.0,10935.16,2996.6,27.4,Credit Card,Delivered
ORD00002,2024-03-18,C0216,Consumer,South,Chennai,Website,P008,Fitness Band,Sports,1,2040.22,5.0,2040.22,102.01,65.15,63.59,1200,False,0,0.0,1938.21,609.47,31.44,Debit Card,Delivered
ORD00003,2024-04-18,C0146,Consumer,West,Ahmedabad,Mobile App,P013,Coffee Maker,Home & Kitchen,1,3932.4,5.0,3932.4,196.62,73.74,69.98,2550,False,0,0.0,3735.78,1042.06,27.89,UPI,Delivered
ORD00004,2024-08-30,C0543,Consumer,North,Chandigarh,Marketplace,P017,Notebook Set,Stationery,5,571.69,15.0,2858.45,428.77,81.9,72.22,1300,False,0,0.0,2429.68,975.56,40.15,Debit Card,Delivered
ORD00005,2025-07-03,C0139,Consumer,East,Kolkata,Mobile App,P014,Air Fryer,Home & Kitchen,2,5775.1,10.0,11550.2,1155.02,62.41,332.8,7000,False,0,0.0,10395.18,2999.97,28.86,Credit Card,Delivered
ORD00006,2025-04-03,C0137,Consumer,West,Ahmedabad,Website,P019,Planner,Stationery,3,737.09,5.0,2211.27,110.56,119.16,50.95,960,False,0,0.0,2100.71,970.6,46.2,Debit Card,Delivered
ORD00007,2025-10-26,C0145,Consumer,East,Patna,Mobile App,P014,Air Fryer,Home & Kitchen,1,5625.28,10.0,5625.28,562.53,47.04,133.65,3500,False,0,0.0,5062.75,1382.06,27.3,Net Banking,Delivered
ORD00008,2024-06-07,C0228,Consumer,North,Chandigarh,Website,P001,Wireless Headphones,Electronics,2,1917.63,5.0,3835.26,191.76,137.02,123.68,2100,False,0,0.0,3643.5,1282.8,35.21,Credit Card,Delivered
ORD00009,2025-09-14,C0460,Consumer,West,Surat,Mobile App,P004,Laptop Stand,Electronics,3,1424.72,5.0,4274.16,213.71,105.4,79.37,2550,False,0,0.0,4060.45,1325.68,32.65,UPI,Delivered
ORD00010,2024-07-20,C0436,Corporate,South,Chennai,Website,P013,Coffee Maker,Home & Kitchen,1,4388.49,0.0,4388.49,0.0,84.66,111.04,2550,False,0,0.0,4388.49,1642.79,37.43,Credit Card,Delivered
ORD00011,2024-12-07,C0476,Home Office,North,Chandigarh,Mobile App,P005,Mechanical Keyboard,Electronics,1,2918.88,5.0,2918.88,145.94,55.86,83.37,1650,False,0,0.0,2772.94,983.71,35.48,Net Banking,Delivered
ORD00012,2024-03-27,C0055,Consumer,West,Pune,Marketplace,P014,Air Fryer,Home & Kitchen,1,5526.23,20.0,5526.23,1105.25,42.73,73.88,3500,False,0,0.0,4420.98,804.37,18.19,UPI,Delivered
ORD00013,2025-07-01,C0285,Consumer,North,Jaipur,Marketplace,P013,Coffee Maker,Home & Kitchen,3,4518.9,5.0,13556.7,677.84,158.81,446.99,7650,False,0,0.0,12878.86,4623.06,35.9,UPI,Delivered
ORD00014,2024-07-27,C0526,Consumer,South,Chennai,Mobile App,P018,Premium Pen Set,Stationery,2,907.8,10.0,1815.6,181.56,83.35,24.87,800,False,0,0.0,1634.04,725.82,44.42,COD,Delivered
ORD00015,2024-06-16,C0268,Corporate,South,Bengaluru,Website,P020,Study Table Organizer,Stationery,2,1066.48,5.0,2132.96,106.65,239.35,46.47,900,False,0,0.0,2026.31,840.49,41.48,UPI,Delivered
